# EIA Form 860 (2024) — Wind Farm Operators & Owners
# 928 unique companies, sorted by total installed capacity
# Generated: 2026-05-03
# Source: https://www.eia.gov/electricity/data/eia860/xls/eia8602024.zip
# Columns: MW (nameplate), Plants
     252 MW     1 plants  Cedar Point LLC
   250.7 MW     1 plants  Little Blue Wind Project, LLC
     250 MW     1 plants  Hidalgo Wind Farm LLC
     250 MW     1 plants  Golden West Power Partners, LLC
     250 MW     1 plants  Willow Springs Windfarm, LLC
     250 MW     1 plants  Amadeus Wind LLC
     250 MW     1 plants  Nobles 2 Power Partners, LLC
     250 MW     1 plants  Skeleton Creek Energy Center
   249.9 MW     1 plants  Palo Duro Wind
   249.9 MW     1 plants  Rush Springs Wind Project
   249.8 MW     1 plants  Buffalo Dunes Wind Project LLC
   249.8 MW     1 plants  Tucson Electric Power Co
   249.7 MW     1 plants  Javelina Wind Energy, LLC
   247.3 MW     1 plants  Armadillo Flats Wind Project, LLC
   243.5 MW     1 plants  Pratt Wind, LLC
   242.8 MW     1 plants  El Campo Wind, LLC (Longroad)
     242 MW     1 plants  Clear Creek Wind, LLC
   239.4 MW     1 plants  Big Sky Wind LLC
   237.6 MW     1 plants  Rio Bravo Windpower, LLC
   236.5 MW     1 plants  White Cloud Wind Project, LLC
     236 MW     1 plants  Chapman Ranch Wind LLC
     230 MW     1 plants  Electra Wind, LLC
     230 MW     1 plants  Horse Creek Wind, LLC
     230 MW     1 plants  Plum Creek Wind, LLC
     226 MW     1 plants  Roundhouse Renewable Energy, LLC
   225.6 MW     1 plants  Griffin Trail Wind, LLC
   224.4 MW     1 plants  Great Pathfinder Wind
   223.9 MW     1 plants  Shamrock Wind LLC
   217.5 MW     1 plants  FPL Energy Illinois Wind LLC
   215.3 MW     1 plants  Marble River, LLC
   214.8 MW     1 plants  Kingman Wind Energy, LLC
   214.5 MW     2 plants  NRG Energy Gas & Wind Holdings Inc
   213.8 MW     1 plants  Old Trail Wind Farm LLC
   210.9 MW     1 plants  High Trail Wind Farm LLC
   210.1 MW     1 plants  Canadian Breaks LLC
   209.4 MW     1 plants  Reloj del Sol Wind Farm LLC
     209 MW     1 plants  King Creek Wind Farm 2, LLC
   208.3 MW     1 plants  Ninnescah Wind Energy LLC
   207.9 MW     1 plants  Clearwater Wind East, LLC
   205.6 MW     1 plants  Niyol Wind, LLC
   205.2 MW     1 plants  Lexington Chenoa Wind Farm LLC
     205 MW     3 plants  Montana-Dakota Utilities Co
     204 MW     1 plants  FPL Energy New Mexico Wind LLC
     204 MW     1 plants  White Creek Wind 1 LLC
     204 MW     1 plants  Shannon Wind LLC
   203.5 MW     1 plants  Milford Wind Corridor Phase I, LLC (Longroad)
   202.5 MW     6 plants  Sequitur Renewables, LLC
     202 MW     1 plants  Sugar Creek Wind One LLC
     202 MW     1 plants  Harvest Ridge Wind Farm
   201.6 MW     1 plants  Indiana Crossroads Wind Farm II LLC
   201.5 MW     1 plants  Horizon Hill Wind, LLC
   201.5 MW     1 plants  White Rock Wind East, LLC
     201 MW     1 plants  Logan Wind Energy LLC
     201 MW     1 plants  Cloud County Windfarm, LLC
   200.9 MW     1 plants  Osborn Wind Energy LLC
   200.6 MW     1 plants  Sunflower Energy Center, LLC
   200.5 MW     1 plants  Alta Farms II Wind Project, LLC
   200.4 MW     1 plants  Meadow Lake Wind Farm VI LLC
   200.2 MW     1 plants  Blue Summit III Wind, LLC
   200.2 MW     1 plants  El Algodon Alto Wind Farm, LLC
   200.1 MW     1 plants  Crowned Ridge Wind, LLC
     200 MW     1 plants  FPL Energy Crystal Lake Wind II LLC
     200 MW     1 plants  Blackstone Wind Farm II LLC
     200 MW     1 plants  Caney River Wind Project
     200 MW     1 plants  Headwaters Wind Farm LLC
     200 MW     1 plants  Crocker Wind Farm, LLC
     200 MW     1 plants  Javelina Wind Energy II, LLC
     200 MW     1 plants  Cimarron Bend Wind Project I, LLC
     200 MW     1 plants  Cimarron Bend Wind Project II, LLC
     200 MW     1 plants  Emmons-Logan Wind, LLC
     200 MW     1 plants  Wheatridge Wind Holdings, LLC
     200 MW     1 plants  Ponderosa Wind, LLC
     200 MW     1 plants  Cedar Springs Wind, LLC
     200 MW     1 plants  Heartland Divide II
     200 MW     1 plants  Bronco Plains Wind II, LLC
     200 MW     1 plants  Sweetland Wind Farm, LLC
     200 MW     1 plants  North Bend Wind Project, LLC
   199.7 MW     1 plants  Meadow Lake Wind Farm LLC
   199.5 MW     1 plants  FPL Peetz Table Wind Energy
   199.4 MW     1 plants  Burke Wind LLC
   199.3 MW     1 plants  Prairie Queen Wind Farm LLC
   199.2 MW     1 plants  Turtle Creek Wind Farm LLC
     199 MW     1 plants  Waverly Wind Farm LLC
     199 MW     1 plants  Mammoth Plains Wind Project
   198.9 MW     2 plants  Ridgeline Energy LLC
   198.8 MW     3 plants  Enel Kansas, LLC
   198.8 MW     1 plants  Oliver Wind IV, LLC
   198.6 MW     1 plants  Cedar Bluff Wind, LLC
   198.1 MW     1 plants  Elk City LLC
     198 MW     1 plants  Trinity Hills Wind Farm LLC
     198 MW     1 plants  Bluestem Wind Energy, LLC
   196.8 MW     1 plants  Castle Gap Wind Power, LLC
   196.7 MW     1 plants  Bearkat Wind Energy 1, LLC
   194.3 MW     1 plants  Green River Wind Farm Phase 1, LLC
     189 MW     1 plants  NaturEner Rim Rock Energy LLC
     189 MW     1 plants  Timbermill Wind
     185 MW     2 plants  Los Angeles Department of Water & Power
     185 MW     1 plants  Hilltopper Wind Project, LLC
     185 MW     1 plants  Glacier Sands Wind Power, LLC
   184.8 MW    11 plants  Idaho Wind Partners 1 LLC
     184 MW     1 plants  King Creek Wind Farm 1, LLC
   183.8 MW     1 plants  Lockett Windfarm, LLC
     180 MW     1 plants  Bull Creek Wind LLC
     180 MW     1 plants  Scout Clean Energy LLC
   178.2 MW     1 plants  CP Bloom Wind LLC
     178 MW     1 plants  Pegasus Wind, LLC
   175.3 MW     1 plants  Wildcat Creek Wind Farm LLC
   174.3 MW     1 plants  Northern Colorado Wind LLC
   171.8 MW     1 plants  Appaloosa Run Wind, LLC
     171 MW     1 plants  Moraine Sands Wind Power, LLC
     168 MW     1 plants  Alta Wind V, LLC
